emerge saleintended2 ebitbeforedummy equitybefore manufacturing prime1yearbeffile lnhqtohqctcity prepack3 diploanres commcred24 lnassetscurrdollar lnjudgeexp
1 0 0 0.24211025 1 9.50 0.00000000 0 NA 1 6.45062839 0.69314718
1 1 0 -0.93731809 1 5.00 0.00000000 1 1 1 11.41913114 2.48490665
1 0 1 0.04849942 1 4.00 0.00000000 1 1 1 6.39487755 1.09861229
1 1 1 0.57801418 1 6.00 1.94591015 1 NA 1 6.33505425 2.94443898
1 0 1 -0.02319588 1 7.75 3.36729583 1 1 1 5.96100534 0.00000000
1 0 1 0.14424242 1 8.50 3.58351894 1 1 1 7.40853057 2.48490665
1 0 1 0.21284252 1 9.50 2.70805020 1 1 1 9.23552067 1.38629436
1 0 0 -0.45999819 0 9.50 0.00000000 1 1 1 6.09013272 1.94591015
1 0 0 -0.02745064 0 9.50 2.39789527 1 1 1 7.74482963 0.00000000
1 0 0 -6.56839545 0 8.50 0.00000000 0 1 1 6.12334771 3.98898405
1 0 0 0.20668693 0 4.75 0.00000000 1 NA 1 5.79605775 0.00000000
1 0 0 0.23233114 0 4.75 0.00000000 0 NA 1 6.59085035 0.69314718
1 0 0 -0.32241103 0 4.75 3.80666249 1 NA 1 6.09386318 0.00000000
1 0 0 0.02807565 0 4.75 0.00000000 2 1 NA 6.93322807 1.09861229
1 0 0 -0.80370904 0 4.00 0.00000000 2 NA NA 5.46459423 4.20469262
1 0 1 0.01456449 0 8.00 2.94443898 1 1 1 8.06646813 2.63905733
0 1 0 0.62487977 0 7.00 1.09861229 1 NA 1 5.74268262 0.69314718
1 0 0 -0.02823867 0 4.75 0.00000000 1 1 1 7.89093053 1.60943791
1 0 1 0.05905162 1 9.50 3.40119738 1 1 1 7.94133114 3.52636052
1 0 0 -0.22330961 1 9.50 3.17805383 0 1 1 5.41521112 0.69314718
1 0 0 -0.04702278 1 9.00 3.17805383 0 1 1 6.62100610 NA
1 0 0 -0.05067185 1 8.25 3.73766962 1 1 1 6.42600290 0.00000000
